"result.1";"result.2";"result.3";"result.4";"result.5";"result.6";"result.7";"result.8";"result.9";"result.10";"result.11";"result.12";"result.13";"result.14";"result.15";"result.16";"result.17";"result.18";"result.19";"result.20";"result.21";"result.22";"result.23";"result.24";"result.25";"result.26";"result.27";"result.28";"result.29";"result.30";"result.31";"result.32";"result.33";"result.34";"result.35";"result.36";"result.37";"result.38";"result.39";"result.40";"result.41";"result.42";"result.43";"result.44";"result.45";"result.46";"result.47";"result.48";"result.49";"result.50";"result.51";"result.52";"result.53";"result.54";"result.55";"result.56";"result.57";"result.58";"result.59";"result.60";"result.61";"result.62"
3,03572232333521e-08;1,03549147457839e-08;2,69593526775912e-05;0,000950578623428742;1,0212067858219e-06;1,24534693736721e-06;1,20309735844928e-05;6,97076026422418e-05;1,35842941582555e-05;1,44927779726322e-06;2,06114795747406e-07;0,000251577334820318;5,92841766957053e-07;2,01081305929998e-06;6,21874274449266e-06;0,000848642412292232;5,27515680057699e-06;7,78574617028909e-08;4,07544973186427e-07;0,00138854113581161;4,50688801410932e-06;1,25325938690563e-06;1,99141377757794e-06;4,48023394908674e-05;1,15695015085436e-06;3,66710873695777e-07;1,67388068421911e-08;0,000362909775174967;7,89678268125044e-08;2,90821408953892e-07;1,77153783942905e-06;0,000133685164191336;5,21891634296267e-08;4,15760722403915e-08;8,13405554151854e-09;0,000870020789273415;2,14943354009209e-08;2,06368942142736e-06;2,31189848506615e-08;0,000684677277197717;2,482619128218e-07;3,95296513565482e-06;7,36739810714508e-08;0,000217288565546877;1,98142036402181e-07;1,84130222385108e-08;2,41201680481331e-05;0,000706107328106909;3,51963081769254e-08;1,04117623858889e-05;7,60784766638166e-07;0,00147475017912971;8,68892921703357e-07;2,45293925428815e-06;9,11088534346807e-06;1,44641459489621e-06;3,25324935068613e-06;2,15005835950089e-07;6,79592408123654e-07;0,000380959602691537;3,98170034198933e-06;0,000127512849832864
3,10023907776461e-08;1,06135061513193e-08;2,69056984501837e-05;0,000949479602224034;1,02121508858854e-06;1,2474142963447e-06;1,20882481598461e-05;6,98263557052373e-05;1,35782670190364e-05;1,44726530400397e-06;2,07352722313131e-07;0,00025134270665254;5,92900158420762e-07;2,01076629633428e-06;6,2190434263639e-06;0,000848001398223924;5,27302461191144e-06;7,80543702189727e-08;4,10681057792819e-07;0,001386874762236;4,50241915437891e-06;1,25046746919903e-06;1,98418341239483e-06;4,45358653873314e-05;1,15521081159765e-06;3,67756148058765e-07;1,71942714032523e-08;0,000362081159715338;8,02282609799734e-08;2,91570123023925e-07;1,77788754924753e-06;0,000133893786339729;5,2170920730418e-08;4,11830931066245e-08;8,10580779648501e-09;0,000868948499877122;2,05728103189227e-08;2,06263825168312e-06;2,27561696213876e-08;0,000683204059839759;2,48257717850243e-07;3,94089770729593e-06;7,51263282216671e-08;0,000217264683001929;1,95908468759822e-07;1,92261981151274e-08;2,41464868580358e-05;0,000705423224281745;3,5488331151909e-08;1,0358318690455e-05;7,5366305815958e-07;0,00147298852877557;8,63265537676034e-07;2,43335561151162e-06;9,10897891869158e-06;1,43794025752562e-06;3,24986837705811e-06;2,14954008075586e-07;6,84724391739434e-07;0,000380926232812153;3,99442955379306e-06;0,000127691727516544
3,17191188840052e-08;1,11135158430362e-08;2,68541411983458e-05;0,000948395929537543;1,02145012947605e-06;1,25099905064231e-06;1,21450240586935e-05;6,99530534099147e-05;1,35728528440364e-05;1,44580755660307e-06;2,08839214499756e-07;0,000251103841076329;5,92941471673848e-07;2,01107051170758e-06;6,22087438918698e-06;0,000847395080159123;5,27195455589571e-06;7,82854277176537e-08;4,14572059762457e-07;0,00138522736535865;4,49855647443412e-06;1,24815837531432e-06;1,97733589669882e-06;4,42743716191251e-05;1,15384190349453e-06;3,69227634246478e-07;1,78191366886085e-08;0,000361312908435002;8,16592062795379e-08;2,92323897692935e-07;1,78436810599827e-06;0,000134108321224596;5,22527921487217e-08;4,09196722199788e-08;8,29098069673959e-09;0,000867967371399928;1,98752134883876e-08;2,12226358848148e-06;2,38973485642154e-08;0,000681757612538362;2,48299479660373e-07;3,92992087069515e-06;7,73969559793829e-08;0,000217253407792696;1,9408693772571e-07;2,0637484401175e-08;2,41750628913283e-05;0,000704752683198766;3,59960659177597e-08;1,03061596894836e-05;7,4772425345592e-07;0,00147124672011225;8,58821993921199e-07;2,413849756142e-06;9,10778881047604e-06;1,42966770060714e-06;3,24801281202003e-06;2,14995695638801e-07;6,89748517010093e-07;0,000380853083851055;3,99979534570256e-06;0,000127766207221708
3,25731158595854e-08;1,18371771564417e-08;2,68029379199944e-05;0,000947314384966968;1,02174003038949e-06;1,25667047739066e-06;1,22023522195357e-05;7,00810542512108e-05;1,3567449582888e-05;1,44438053135386e-06;2,10694873961363e-07;0,000250865632878214;5,92989169567695e-07;2,01140240119547e-06;6,2227851128597e-06;0,000846789815989373;5,27089230835119e-06;7,85695450556922e-08;4,19094304679699e-07;0,00138358442759198;4,49473220809523e-06;1,24602903309718e-06;1,97066334026582e-06;4,40151290384178e-05;1,15263996138929e-06;3,70932727158706e-07;1,86624269897168e-08;0,000360547858778794;8,32852261198727e-08;2,9315007233038e-07;1,79124576867765e-06;0,000134323593890934;5,2457644278905e-08;4,08078920131982e-08;8,71046764527987e-09;0,000866988392588476;1,94371877203282e-08;2,27976673794335e-06;2,63525205010924e-08;0,000680316785515972;2,48382887934797e-07;3,91917029242855e-06;8,04264238979785e-08;0,000217242300989991;1,92488795860667e-07;2,26175901084444e-08;2,42042723337985e-05;0,000704083560483025;3,66879147054838e-08;1,02543087420693e-05;7,42497779052093e-07;0,00146950958722983;8,54676991984649e-07;2,39518747812188e-06;9,10660614703158e-06;1,42183505533715e-06;3,24617281014191e-06;2,15068511617362e-07;6,95003467637813e-07;0,000380780142292166;4,00536827454291e-06;0,00012784123774484
3,3564153626603e-08;1,27839919606953e-08;2,6752088061931e-05;0,000946234964701638;1,02208470776625e-06;1,26275664221517e-06;1,22602308525304e-05;7,02103541767883e-05;1,35620572212118e-05;1,44298418573882e-06;2,12918715536723e-07;0,000250628081174038;5,93043241680947e-07;2,01176192596401e-06;6,22477543198223e-06;0,000846185603972379;5,26983786033183e-06;7,89066394514312e-08;4,2424607409968e-07;0,00138194594007753;4,49094629651453e-06;1,24407911065316e-06;1,96416544593863e-06;4,37581325958478e-05;1,15160463402381e-06;3,72870859192821e-07;1,97236369526283e-08;0,000359786004224585;8,51057800693984e-08;2,94048537659909e-07;1,79851949180973e-06;0,000134539601712721;5,27850969105663e-08;4,08473840517429e-08;9,36388057142667e-09;0,000866011559848552;1,92568612498825e-08;2,84182080027603e-06;3,00828279077519e-08;0,000678881566671406;2,48507866243767e-07;3,90864553202082e-06;8,42126222501031e-08;0,000217231362219438;1,91113633591919e-07;2,51650360103075e-08;2,42341135040257e-05;0,000703415853936911;3,75634662291022e-08;1,02027652854026e-05;7,37981870937528e-07;0,00146777712115257;8,5082965123073e-07;2,37736695589638e-06;9,10543091754461e-06;1,4144412301761e-06;3,24434834519277e-06;2,15172388106286e-07;7,00488566160053e-07;0,000380707407650117;4,01114771163703e-06;0,000127916817173619
3,46920045042602e-08;1,39534634386891e-08;2,67015910728763e-05;0,000945157664946254;1,02248407812672e-06;1,26925636109795e-06;1,23186581746828e-05;7,0340949149644e-05;1,35566757445262e-05;1,44161847739205e-06;2,15509756864935e-07;0,00025039118508197;5,93103677632035e-07;2,01214904730309e-06;6,22684518156611e-06;0,000845582442369923;5,26879120298647e-06;7,92966283283731e-08;4,30025654720298e-07;0,00138031189397203;4,48719868026385e-06;1,24230827657814e-06;1,95784191723837e-06;4,35033772562049e-05;1,15073557087844e-06;3,75041464150327e-07;2,10022625654668e-08;0,000359027338263766;8,7120329317614e-08;2,95019184418445e-07;1,80618823248324e-06;0,000134756342073588;5,32347711049586e-08;4,10377809872403e-08;1,02508321241009e-08;0,000865036869588634;1,93324104528436e-08;1,24752211587328e-05;3,50844875586738e-08;0,000677514591528054;2,48674338347698e-07;3,89834614977685e-06;8,87534476495913e-08;0,000217220591100707;1,89961042300318e-07;2,82783471476684e-08;2,42645847251906e-05;0,000702749561365082;3,86223102794424e-08;1,01515287572184e-05;7,34174770051218e-07;0,00146604931293683;8,47279094072419e-07;2,36038637173114e-06;9,10426311127414e-06;1,40748513695712e-06;3,24253939088918e-06;2,15307257329211e-07;7,06203137185845e-07;0,000380634879438631;4,01713303023935e-06;0,000127992943602127
3,5956441298693e-08;1,53450960962892e-08;2,66514464015347e-05;0,000944082481904267;1,02293805818076e-06;1,27616845378734e-06;1,23776324087573e-05;7,04728351427676e-05;1,35513051383747e-05;1,44028336397765e-06;2,18467018353446e-07;0,000250154943720836;5,93170467047459e-07;2,0125637264922e-06;6,22899419704121e-06;0,000844980329447766;5,26775232734615e-06;7,97394292969819e-08;4,36431338250387e-07;0,00137868228045895;4,48348930054127e-06;1,24071620028797e-06;1,95169245839094e-06;4,32508579928005e-05;1,15003242240073e-06;3,77443977795713e-07;2,24978011251446e-08;0,00035827185440248;8,93283367087418e-08;2,96061903687642e-07;1,81425095106414e-06;0,000134973812365891;5,38062891903592e-08;4,13787165536279e-08;1,14174795398864e-08;0,000864064318226849;1,96620590403815e-08;6,18701269549013e-07;4,13537279199055e-08;0,000676272304411386;2,4888222819852e-07;3,88827170686817e-06;9,40468029316184e-08;0,000217209987261091;1,8903061411071e-07;3,19560528315936e-08;2,42956843256989e-05;0,000702084680576251;3,9864037733438e-08;1,01005985967061e-05;7,31074721782558e-07;0,00146432615364072;8,4402444596072e-07;2,34424391169597e-06;9,10310271746317e-06;1,40096569044592e-06;3,24074592122112e-06;2,15473051738167e-07;7,12146507381181e-07;0,000380562557175605;4,02332360561088e-06;0,000128069615129977
3,7357237236241e-08;1,69583957522943e-08;2,66016534983231e-05;0,000943009411794454;1,0234465648047e-06;1,28349174366135e-06;1,24371517837485e-05;7,06060081435082e-05;1,35459453884768e-05;1,43897880325809e-06;2,21789523180191e-07;0,000249919356211123;5,93243599579657e-07;2,01300592496933e-06;6,23122231436948e-06;0,000844379263475672;5,26672122460985e-06;8,02349601832342e-08;4,43461421544047e-07;0,00137705709073952;4,47981809844728e-06;1,23930255195311e-06;1,94571677398857e-06;4,30005697938378e-05;1,14949483998917e-06;3,80077837466297e-07;2,42097512534688e-08;0,000357519546162893;9,17292667469807e-08;2,97176586776599e-07;1,82270661097061e-06;0,000135192009991444;5,44992747576805e-08;4,186982556335e-08;1,29348645939863e-08;0,00086309390218927;2,02440772863625e-08;8,50005955548786e-07;4,88867891040713e-08;0,000675035733879192;2,49131459937161e-07;3,87842176563621e-06;1,00090597232842e-07;0,000217199550325795;1,8832194209736e-07;3,61966866188154e-08;2,43274106388862e-05;0,000701421209384687;4,12882405498421e-08;1,00499742441871e-05;7,28679976570832e-07;0,00146260763435514;8,41064835374514e-07;2,32893776565022e-06;9,10194972539869e-06;1,39488180863727e-06;3,23896791009497e-06;2,15669703958835e-07;7,18318005463704e-07;0,000380490440366877;4,02971881483384e-06;0,000128146829863145
3,88941659889384e-08;1,87928695373234e-08;2,65522118145312e-05;0,00094193845084056;1,02400951503123e-06;1,29122505779901e-06;1,24972145349806e-05;7,07404641500118e-05;1,35405964803168e-05;1,43770475308918e-06;2,25476297257903e-07;0,000249684421674727;5,93323064907181e-07;2,01347560414495e-06;6,23352936978395e-06;0,000843779242727388;5,26569788584003e-06;8,07831389959733e-08;4,51114206458938e-07;0,00137543631603528;4,4761850152084e-06;1,23806700242881e-06;1,9399145695349e-06;4,27525076578464e-05;1,14912247588642e-06;3,8294248221469e-07;2,61376128796242e-08;0,000356770407080224;9,43225855535181e-08;2,98363125166455e-07;1,83155417850455e-06;0,000135410932359594;5,53133526549168e-08;4,25107439037224e-08;1,47632116360033e-08;0,000862125617908418;2,10767812825625e-08;1,05316196699192e-06;5,76799228286543e-08;0,000673803745203714;2,49421957894723e-07;3,86879588924401e-06;1,0688274589961e-07;0,000217189279922126;1,87834620159275e-07;4,09987863066647e-08;2,43597620033723e-05;0,000700759145609225;4,28945117638338e-08;9,9996551410533e-06;7,26988789444426e-07;0,00146089374618324;8,38399393804625e-07;2,31446612723536e-06;9,10080412440855e-06;1,38923241259925e-06;3,23720533153961e-06;2,15897146795948e-07;7,24716962193512e-07;0,000380418528544633;4,0363180369645e-06;0,000128224585912718
4,05670016832115e-08;2,08480258864062e-08;2,6503120802244e-05;0,000940869595275145;1,02462682606912e-06;1,29936722688896e-06;1,25578189033859e-05;7,08761991746797e-05;1,35352583997172e-05;1,43646117136888e-06;2,29526369270994e-07;0,000249450139234633;5,93408852724188e-07;2,01397272560003e-06;6,23591520016333e-06;0,000843180265480615;5,2646823022703e-06;8,13838839605662e-08;4,59387999942664e-07;0,0013738199475902;4,47258999236868e-06;1,23700922339616e-06;1,93428555081521e-06;4,2506666596198e-05;1,14891498336584e-06;3,86037352861281e-07;2,82808872456942e-08;0,000356024430705842;9,71077609204085e-08;2,99621410686498e-07;1,84079262306763e-06;0,000135630576889871;5,62481489831228e-08;4,33011085329588e-08;1,69018303619144e-08;0,000861159461825853;2,21585322148271e-08;1,16648033505176e-06;6,77293923730122e-08;0,000672576329241424;2,49753646589946e-07;3,85939364197775e-06;1,14421170509379e-07;0,000217179175680015;1,87568243047439e-07;4,63608939066988e-08;2,43927367622704e-05;0,000700098487071815;4,46824454835911e-08;9,94964073004693e-06;7,25999420259083e-07;0,00145918448024987;8,36027255742644e-07;2,30082719385311e-06;9,09966590380765e-06;1,38411931812668e-06;3,23545815966791e-06;2,16155313263588e-07;7,31342710371348e-07;0,000380346821213916;4,043120652935e-06;0,00012830288139601
